,Star Rating,Title,lemmatized_tokens
79,4.0,Pretty decent for value.,"['picture', 'item', 'exactly', 'getting', 'got', 'item', 'picture', 'however', 'suction', 'slightly', 'pick', 'lose', 'item', 'iffy', 'item', 'suction', 'alone', 'clear', 'handle', 'good', 'tiny', 'hole', 'wont', 'pick', 'bigger', 'item', 'best', 'attachment', 'black', 'brush', 'suction', 'work', 'well', 'scrubbing', 'extra', 'small', 'stuff', 'pick', 'mini', 'blue', 'brush', 'work', 'well', 'crevicesvery', 'well', 'infact', 'smaller', 'space', 'plastic', 'black', 'hosejust', 'throw', 'away', 'suction', 'plastic', 'clear', 'extension', 'ehh', 'cord', 'though', 'legnth', 'perfect', 'take', 'long', 'time', 'deep', 'cleaning', 'car', 'suction', 'mildly', 'strong', 'get', 'job', 'done', 'take', 'hour', 'end', 'suction', 'car', 'wash', 'vacumm', 'youre', 'looking', 'product', 'however', 'big', 'however', 'youre', 'looking', 'small', 'device', 'keep', 'car', 'cleaned', 'every', 'couple', 'day', 'tiying', 'uber', 'lift', 'perfect', 'thing']"
80,5.0,Great Suction,"['vacuum', 'exactly', 'three', 'kid', 'age', 'find', 'every', 'lego', 'year', 'old', 'french', 'fry', 'able', 'get']"
81,5.0,It works,"['well', 'definitely', 'car', 'wouldnt', 'use', 'house', 'floor', 'mat', 'place', 'seat', 'console', 'perfect', 'could', 'use', 'little', 'sucking', 'power', 'thats', 'probably', 'perfect', 'need', 'like', 'cordless', 'could', 'imagine', 'left', 'review', 'cord', 'length', 'blank', 'got', 'dad', 'like']"
82,5.0,Handy,"['good', 'keeping', 'car', 'clean', 'week', 'week', 'easy', 'use', 'plug', 'min', 'keep', 'car', 'nice']"
83,3.0,Get what you pay for but not the accessories.,"['vacuum', 'decent', 'suction', 'power', 'enough', 'lift', 'water', 'loose', 'particle', 'hovers', 'got', 'dog', 'hair', 'dog', 'hair', 'loose', 'top', 'get', 'suctioned', 'fur', 'somehow', 'tucked', 'poking', 'fabric', 'suction', 'vacuum', 'might', 'enough', 'one', 'go', 'pick', 'hair', 'piece', 'individually', 'extended', 'attachment', 'reduce', 'suctioning', 'power', 'use', 'opinion', 'better', 'try', 'suction', 'much', 'u', 'without', 'using', 'attachment', 'everything', 'including', 'additional', 'filter', 'get', 'fit', 'inside', 'little', 'carry', 'bag', 'easily', 'stored', 'trunk', 'seat', 'thats', 'plus', 'lucky', 'used', 'gift', 'card', 'balance', 'bought', 'nye', 'sale', 'pay', 'full', 'price', 'pay', 'full', 'price', 'might', 'asked', 'refund', 'really', 'wanted', 'use', 'extra', 'attachment', 'really', 'clean', 'car', 'dependable']"
84,5.0,Filter is difficult to remove,"['like', 'pickup', 'power', 'small', 'vacuum', 'happy', 'product']"
85,4.0,Decent little car vacuum,"['simple', 'easy', 'use', 'vacuum', 'car', 'doesnt', 'pick', 'everything', 'also', 'work', 'well', 'worth']"
86,5.0,Perfect car vac,"['worked', 'perfectly', 'new', 'car', 'cleaned', 'tiniest', 'little', 'particle']"
87,5.0,Such a handy vacuum!!,"['work', 'well', 'store', 'nicely', 'car']"
88,3.0,Only time will tell if this good review lasts.-edited 6 months later,"['medium', 'could', 'loaded', 'went', 'good', 'review', 'purchase', 'thinking', 'bad', 'review', 'product', 'going', 'use', 'find', 'first', 'turned', 'thought', 'way', 'thing', 'used', 'clean', 'whole', 'car', 'expedition', 'there', 'lot', 'space', 'clean', 'tested', 'vacation', 'day', 'beach', 'car', 'bought', 'right', 'vacation', 'already', 'completely', 'clean', 'left', 'definitely', 'needed', 'upholstery', 'attachment', 'floor', 'see', 'video', 'pick', 'sand', 'also', 'seems', 'fling', 'around', 'wanted', 'see', 'vacuum', 'could', 'first', 'going', 'need', 'smack', 'rug', 'outside', 'car', 'first', 'see', 'much', 'dirt', 'sand', 'vacuum', 'suction', 'honestly', 'greatest', 'used', 'attachment', 'crevice', 'cleaner', 'ok', 'could', 'angled', 'edge', 'though', 'really', 'get', 'tight', 'place', 'cord', 'reach', 'way', 'back', 'car', 'move', 'wrong', 'lose', 'power', 'youll', 'go', 'back', 'jiggle', 'better', 'recommends', 'running', 'minute', 'time', 'give', 'rest', 'quick', 'cleaning', 'small', 'mess', 'opinion', 'clean', 'whole', 'car', 'vacation', 'test', 'much', 'hate', 'lugging', 'large', 'vacuum', 'garage', 'probably', 'wouldve', 'faster', 'deeper', 'clean', 'get', 'job', 'done', 'youre', 'away', 'home', 'kid', 'spill', 'snack', 'compact', 'enough', 'fit', 'car', 'ive', 'used', 'one', 'time', 'think', 'time', 'tell', 'long', 'last', 'edit', 'month', 'later', 'husband', 'tried', 'use', 'vacuum', 'vacation', 'told', 'get', 'money', 'back', 'really', 'useful', 'actually', 'cleaning']"
89,4.0,I liked it ! I have kids so it’s super easy to clean car with,"['really', 'liked', 'suction', 'like', 'omg', 'amazing', 'definitely', 'fine', 'mean', 'car', 'looked', 'way', 'better', 'put', 'attachment', 'brush', 'way', 'better', 'result']"
90,4.0,Okay for the price,"['work', 'okay', 'paid', 'pick', 'big', 'thing', 'want', 'suction', 'power', 'isnt']"
91,5.0,"Very handy, reliable","['keep', 'stashed', 'trunk', 'car', 'work', 'reliably', 'reach', 'tight', 'spot', 'car', 'thin', 'hose', 'attachment', 'solid', 'product']"
92,4.0,Does the job,"['job', 'good', 'quick', 'clean', 'maybe', 'deep', 'cleaning', 'detail', 'small', 'brush', 'nozzle', 'clogged', 'fast', 'suction', 'power', 'great', 'without', 'long', 'extended', 'nozzle', 'one', 'used']"
93,5.0,Perfect compact car vacuum,"['extra', 'length', 'cord', 'cover', 'area', 'vehicle', 'powerful', 'car', 'vacuum', 'happy', 'purchase']"
94,5.0,Awesome sweeper,"['work', 'amazing', 'car', 'extra', 'attachment', 'real', 'nice', 'seat', 'hard', 'reach', 'spot', 'would', 'recommend', 'product']"
95,5.0,Great gift idea,"['gave', 'gift', 'person', 'loved']"
96,3.0,Just ok,"['bought', 'mega', 'sale', 'great', 'review', 'kid', 'thought', 'would', 'great', 'something', 'help', 'get', 'little', 'thing', 'drop', 'shoe', 'carry', 'car', 'dirt', 'tiny', 'crumb', 'work', 'ok', 'tiniest', 'rock', 'wont', 'pick', 'though', 'suction', 'subpar', 'also', 'clean', 'canister', 'minimum', 'time', 'every', 'time', 'vacuum', 'car', 'dirty', 'thing', 'pick', 'get', 'sucked', 'filter', 'clog', 'making', 'suction', 'would', 'great', 'person', 'without', 'kid', 'pet', 'doesnt', 'get', 'car', 'dirty', 'begin']"
97,4.0,It does the job,"['used', 'vacuum', 'dodge', 'durango', 'shocked', 'well', 'didnt', 'think', 'gon', 'na', 'job', 'thought', 'actually', 'really', 'impressed', 'little', 'vacuum', 'need', 'little', 'suction', 'deeper', 'cleaning']"
98,4.0,Good vacuum but not great,"['good', 'vacuum', 'dont', 'expect', 'good', 'suction', 'like', 'car', 'wash', 'go', 'carpet', 'several', 'time']"
99,4.0,Cleaning the filter frequently during long sessions helps with suction.,"['liked', 'product', 'suction', 'good', 'wish', 'little', 'powerful']"
